Dokument ID;Nachname;Vorname;Pseudonym;Gender;Titel;Untertitel_im_Text;Untertitel_im_Inhaltsverzeichnis;Jahr_ED;entstanden;Gattungslabel_ED;Gattungslabel_ED_normalisiert;Medium_ED;Medientyp_ED;Hg.;Kanon_Status;Nummer im Heft (ab 00797: 1 erste Position. 0 nicht erste Position);seriell;Seiten;Medium_Zweitdruck;Jahr_Zweitdruck;Label_Zweitdruck;Medium_Drittdruck;Jahr_Drittdruck;Label_Drittdruck;in_Deutscher_Novellenschatz_(Heyse);in_Pantheon;in_RUB_Sammlung;in_B-v-Wiese;Verantwortlich_Erfassung;falls andere Quelle;Herkunft_Prätext_lt_Paratext;Wahrheitsbeglaubigung_lt_Paratext;Bearbeitungsqualität;ist_spätere_Fassung_von;UrhGeschBis;falls_Episode_als_Ganztext_erfasst;Kontrafaktizität_annotiert
00071-00;Boettiger;C. W.;;m;Radegundis und Amalfred, oder die letzten Alt-Thüringer;;;1821;;0;0;Urania. Taschenbuch auf das Jahr 1822;Taschenbuch;;0;;FALSE;127-169;;;;;;;;;;;;;;;niedrig_original;;;;
00072-00;Mosengeil;Friedrich;;m;Sieg der Kunst, des Künstlers Lohn;Prosaische Erzählung;;1821;;E;E;Urania. Taschenbuch auf das Jahr 1822;Taschenbuch;;0;;FALSE;1-69;Als: „Das Bild der schönen Unbekannten“. In: Mosengeil: Drei Freunde auf Reisen;1828;Novelle;;;;0;0;0;0;Julian Schröter;0;;;niedrig_original;;;;
00073-00;Mueller;Wilhelm;;m;Lord Byron;;;1821;;0;0;Urania. Taschenbuch auf das Jahr 1822;Taschenbuch;;0;;FALSE;205-262;;;;;;;;;;;;;;;niedrig_original;;;;
00074-00;Schuetz;Wilhelm von;;m;Ausstellungen den Reisen und Abentheuern Jean Jaques Casanova de Seingalt.;Nach dem in französischer Sprache geschriebenen Original-Manuscript bearbeitet von;;1821;;0;0;Urania. Taschenbuch auf das Jahr 1822;Taschenbuch;;0;;FALSE;263-374;;;;;;;;;;;;;französisch;;niedrig_original;;;;
00075-00;Guntram;;Guntram;;Die Nebenbuhlerin ihrer selbst;Erzählung;;1821;;E;E;Urania. Taschenbuch auf das Jahr 1822;Taschenbuch;;0;;FALSE;434-475;;;;;;;;;;;;;;;niedrig_original;;;;
00076-00;Boettiger;C. W.;;m;Sabina an der Küste von Neapel;;;1822;;0;0;Urania. Taschenbuch auf das Jahr 1823;Taschenbuch;;0;;FALSE;1-42;;;;;;;;;;;;;;;niedrig_original;;;;
00077-00;Schuetz;Wilhelm von;;m;Fragmente aus Casanovas handschriftlichen Memoiren;;;1822;;0;0;Urania. Taschenbuch auf das Jahr 1823;Taschenbuch;;0;;FALSE;391-546;;;;;;;;;;;;;;;niedrig_original;;;;
00078-00;Raumer;Friedrich von;;m;Die Eroberung von Konstantinopel im Jahre 1204;;;1822;;0;0;Urania. Taschenbuch auf das Jahr 1823;Taschenbuch;;0;;FALSE;329-374;;;;;;;;;;;;;;;niedrig_original;;;;
00079-00;Schilling;Gustav;;m;Rosen und Lilien;Erzählung;;1822;;E;E;Urania. Taschenbuch auf das Jahr 1823;Taschenbuch;;0;;FALSE;283-296;;;;;;;;;;;;;;;niedrig_original;;;;
00080-00;Montemayor;Jorge de;;m;Der Gefangene;Novelle;;1822;;N;N;Urania. Taschenbuch auf das Jahr 1823;Taschenbuch;;0;;FALSE;233-256;;;;;;;;;;;;;;;niedrig_original;;;;
00081-00;Mosengeil;Friedrich;;m;Florentin;Novelle;;1822;;N;N;Urania. Taschenbuch auf das Jahr 1823;Taschenbuch;;0;;FALSE;113-188;;;;;;;;;;;;;;;niedrig_original;;;;
00082-00;Mosengeil;Friedrich;;m;Das Festspiel zu Petermichelthal;Erzählung;;1823;;E;E;Urania. Taschenbuch auf das Jahr 1824;Taschenbuch;;0;;FALSE;129-188;;;;;;;;;;;;;;;niedrig_original;;;;
00083-00;Streckfuß;Karl;;m;Der Falk;Erzählung;;1823;;E;E;Urania. Taschenbuch auf das Jahr 1824;Taschenbuch;;0;;FALSE;65-86;;;;;;;;;;;;;;;niedrig_original;;;;
00084-00;Sotzmann;;;;Der dicke Tischler;alt-florentlnischer Künstlerschwank;;1823;;Schwank;XE;Urania. Taschenbuch auf das Jahr 1824;Taschenbuch;;0;;FALSE;1-64;;;;;;;;;;;;;italienisch;;niedrig_original;;;;
00085-00;o.N;o.N.;;unbekannt;Fabio und Bibiana;Aus dem Italienischen;;1830;;0;0;Pantheon. Bd. 20;Sammlung;;0;;FALSE;164–196;;;;;;;TRUE;TRUE;;;;;italienisch;;niedrig_original;;;;
00086-00;Schopenhauer;Johanna;;f;Anton Solaris der Klempner;Eine Malergeschichte;;1825;;Malergeschichte;XE;Urania. Taschenbuch auf das Jahr 1826;Taschenbuch;;0;;FALSE;209-250;;;;;;;;;;;;;;;niedrig_original;;;;
00087-00;Blumenhagen;Wilhelm;;m;Männertreue, oder so sind nicht Alle.;;;1825;;0;0;Urania. Taschenbuch auf das Jahr 1826;Taschenbuch;;0;;FALSE;397-500;;;;;;;;;;;;;;;niedrig_original;;;;
00088-00;Sartorius;A. v.;;;Der Deutsche in Lissabon;Erzählung;;1829;;E;E;Urania. Taschenbuch auf das Jahr 1830;Taschenbuch;;0;;FALSE;1-110;;;;;;;;;;;;;;;niedrig_original;;;;
00089-00;Schwab;Gustav;;m;Griseldis;Volkssage in zehn Romanzen;;1829;;V_ Sage_Romanze;V ;Urania. Taschenbuch auf das Jahr 1830;Taschenbuch;;0;;FALSE;111-158;;;;;;;;;;;;;;;niedrig_norm;;;;
00090-00;Schopenhauer;Johanna;;f;Liebesheirath;Novelle;;1829;;N;N;Urania. Taschenbuch auf das Jahr 1830;Taschenbuch;;0;;FALSE;159-246;;;;;;;;;;;;;;;niedrig_norm;;;;
00091-00;Martell;Wilhelm;;m;Der Sturm;Novelle;;1829;;N;N;Urania. Taschenbuch auf das Jahr 1830;Taschenbuch;;0;;FALSE;365-466;;;;;;;;;;;;;;;niedrig_norm;;;;
00092-00;Weißenthurn;Johanna Franul v.;;f;Die arme Liese;Erzählung;;1814;;E;E;Aglaia. Jahrbuch für Frauenzimmer auf 1815;Taschenbuch;;0;;FALSE;1-73;;;;;;;;;;;;;;;niedrig_original;;;;
00093-00;Neumann von Meißenthal;Marianne;;f;Die Familie Mollberg, oder der Page.;Eine Erzählung;;1814;;E;E;Aglaia. Jahrbuch für Frauenzimmer auf 1815;Taschenbuch;;0;;FALSE;123-212;;;;;;;;;;;;;;;niedrig_original;;;;
00094-00;Neumann von Meißenthal;Marianne;;f;Die drei Fackeln;Eine Erzählung;;1814;;E;E;Aglaia. Jahrbuch für Frauenzimmer auf 1815;Taschenbuch;;0;;FALSE;90-99;;;;;;;;;;;;;;;niedrig_original;;;;
00095-00;Pichler;Caroline;;f;Der Graf von Barcellona;;;1814;;0;0;Aglaia. Jahrbuch für Frauenzimmer auf 1815;Taschenbuch;;0;;FALSE;230-285;;;;;;;;;;;;;;;niedrig_original;;;;
00096-00;Pichler;Caroline;;f;Die Sennhütte auf den Schweizeralpen;aus dem Franz. der Frau v. Montolieu, von Carol. Pichler;;1815;;0;0;Aglaia. Jahrbuch für Frauenzimmer auf 1816;Taschenbuch;;0;;FALSE;3-56;;;;;;;;;;;;;französisch;;niedrig_original;;;;
00097-00;Neumann von Meißenthal;Marianne;;f;Martin und Suse, oder Der Berggeist des Karstes. ;Eine romantische Erzählung.;;1815;;RomantE;XE;Aglaia. Jahrbuch für Frauenzimmer auf 1816;Taschenbuch;;0;;FALSE;89-135;;;;;;;;;;;;;;;niedrig_original;;;;
00098-00;Pichler;Caroline;;f; Die Walpurgnisnacht;Nach einer Sage;Erzählung nach einer Sage, von Caroline Pichler;1821;;E;E; Aglaja. Ein Taschenbuch für das Jahr 1822;Taschenbuch;;0;;FALSE; 16-63;;;;;;;;;;;Theresa Valta;;;;niedrig_original;;;;
00099-00;von Perin; Josephine;;f; Die Rückkehr; ;Erzählung von Jospehine v. Perin, geb. Freyin v. Vogelsang;1821;;E;E; Aglaja. Ein Taschenbuch für das Jahr 1822;Taschenbuch;;0;;FALSE; 89-124;;;;;;;;;;;Theresa Valta;;;;niedrig_original;;;;
00100-00;Gleich; Friedrich;;m; Drusamonde und die drey Schwestern;;Erzählung von Friedrich Gleich;1821;;E;E; Aglaja. Ein Taschenbuch für das Jahr 1822;Taschenbuch;;0;;FALSE; 152-177;;;;;;;;;;;Theresa Valta;;;;niedrig_original;;;;
00101-00;Brachmann; Louise;;f; Der Maurenritter; ;Erzählung von Louise Brachmann;1821;;E;E; Aglaja. Ein Taschenbuch für das Jahr 1822;Taschenbuch;;0;;FALSE; 210-239;;;;;;;;;;;Theresa Valta;;;;niedrig_original;;;;
00102-00;Kruse;Lauritz;;m;Die alten Freunde;Novelle;;1830;;N;N;Aglaja. Ein Taschenbuch für das Jahr 1831;Taschenbuch;;0;;FALSE;3-130;;;;;;;;;;;Johannes Leitgeb;;;;normalisiert;;;;
